This job can be monitored from: https://job.c3se.chalmers.se/alvis/6780169
W0626 18:14:47.588000 1162255 site-packages/torch/distributed/run.py:766] 
W0626 18:14:47.588000 1162255 site-packages/torch/distributed/run.py:766] *****************************************
W0626 18:14:47.588000 1162255 site-packages/torch/distributed/run.py:766] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0626 18:14:47.588000 1162255 site-packages/torch/distributed/run.py:766] *****************************************
The tokenizer you are loading from 'model_weights/codi_recon_1.5b_ls1_rw2.0/checkpoint-1500' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
`torch_dtype` is deprecated! Use `dtype` instead!
The tokenizer you are loading from 'model_weights/codi_recon_1.5b_ls1_rw2.0/checkpoint-1500' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
`torch_dtype` is deprecated! Use `dtype` instead!
Using the latest cached version of the dataset since cruxeval-org/cruxeval couldn't be found on the Hugging Face Hub (offline mode is enabled).
Found the latest cached dataset configuration 'default' at /cephyr/users/siruil/Alvis/.cache/huggingface/datasets/cruxeval-org___cruxeval/default/0.0.0/b96af0450242eb4da433032b90998f25588a5d0f (last modified on Wed Jun 17 16:48:17 2026).
Using the latest cached version of the dataset since cruxeval-org/cruxeval couldn't be found on the Hugging Face Hub (offline mode is enabled).
Found the latest cached dataset configuration 'default' at /cephyr/users/siruil/Alvis/.cache/huggingface/datasets/cruxeval-org___cruxeval/default/0.0.0/b96af0450242eb4da433032b90998f25588a5d0f (last modified on Wed Jun 17 16:48:17 2026).
  rank0 20/400  pass@1=0.6000
  rank0 40/400  pass@1=0.4750
  rank0 60/400  pass@1=0.5333
  rank0 80/400  pass@1=0.5375
  rank0 100/400  pass@1=0.5600
  rank0 120/400  pass@1=0.5333
  rank0 140/400  pass@1=0.5143
  rank0 160/400  pass@1=0.4875
  rank0 180/400  pass@1=0.5111
  rank0 200/400  pass@1=0.5200
  rank0 220/400  pass@1=0.5409
  rank0 240/400  pass@1=0.5417
  rank0 260/400  pass@1=0.5346
  rank0 280/400  pass@1=0.5321
  rank0 300/400  pass@1=0.5333
  rank0 320/400  pass@1=0.5406
  rank0 340/400  pass@1=0.5382
  rank0 360/400  pass@1=0.5306
  rank0 380/400  pass@1=0.5368
  rank0 400/400  pass@1=0.5275

CRUXEval-O latent pass@1=0.5175  valid_format=0.9875  (n=800, greedy)
